type,client,tx,amount
deposit,1,1,10.0
deposit,2,2,20.0
deposit,3,3,30.0
deposit,4,4,40.0
deposit,5,5,50.0
deposit,6,6,60.0
deposit,7,7,70.0
deposit,8,8,80.0
deposit,9,9,90.0
deposit,10,10,100.0
deposit,11,11,110.0
deposit,12,12,120.0
deposit,13,13,130.0
deposit,14,14,140.0
deposit,15,15,150.0
deposit,16,16,160.0
deposit,17,17,170.0
deposit,18,18,180.0
deposit,19,19,190.0
deposit,20,20,200.0
deposit,21,21,210.0
deposit,22,22,220.0
deposit,23,23,230.0
deposit,24,24,240.0
deposit,25,25,250.0
deposit,26,26,260.0
deposit,27,27,270.0
deposit,28,28,280.0
deposit,29,29,290.0
deposit,30,30,300.0
deposit,31,31,310.0
deposit,32,32,320.0
deposit,33,33,330.0
deposit,34,34,340.0
deposit,35,35,350.0
deposit,36,36,360.0
deposit,37,37,370.0
deposit,38,38,380.0
deposit,39,39,390.0
deposit,40,40,400.0
deposit,41,41,410.0
deposit,42,42,420.0
deposit,43,43,430.0
deposit,44,44,440.0
deposit,45,45,450.0
deposit,46,46,460.0
deposit,47,47,470.0
deposit,48,48,480.0
deposit,49,49,490.0
deposit,50,50,500.0
deposit,51,51,510.0
deposit,52,52,520.0
deposit,53,53,530.0
deposit,54,54,540.0
deposit,55,55,550.0
deposit,56,56,560.0
deposit,57,57,570.0
deposit,58,58,580.0
deposit,59,59,590.0
deposit,60,60,600.0
deposit,61,61,610.0
deposit,62,62,620.0
deposit,63,63,630.0
deposit,64,64,640.0
deposit,65,65,650.0
deposit,66,66,660.0
deposit,67,67,670.0
deposit,68,68,680.0
deposit,69,69,690.0
deposit,70,70,700.0
deposit,71,71,710.0
deposit,72,72,720.0
deposit,73,73,730.0
deposit,74,74,740.0
deposit,75,75,750.0
deposit,76,76,760.0
deposit,77,77,770.0
deposit,78,78,780.0
deposit,79,79,790.0
deposit,80,80,800.0
deposit,81,81,810.0
deposit,82,82,820.0
deposit,83,83,830.0
deposit,84,84,840.0
deposit,85,85,850.0
deposit,86,86,860.0
deposit,87,87,870.0
deposit,88,88,880.0
deposit,89,89,890.0
deposit,90,90,900.0
deposit,91,91,910.0
deposit,92,92,920.0
deposit,93,93,930.0
deposit,94,94,940.0
deposit,95,95,950.0
deposit,96,96,960.0
deposit,97,97,970.0
deposit,98,98,980.0
deposit,99,99,990.0
deposit,100,100,1000.0
deposit,1,101,10.0
deposit,2,102,20.0
deposit,3,103,30.0
deposit,4,104,40.0
deposit,5,105,50.0
deposit,6,106,60.0
deposit,7,107,70.0
deposit,8,108,80.0
deposit,9,109,90.0
deposit,10,110,100.0
deposit,11,111,110.0
deposit,12,112,120.0
deposit,13,113,130.0
deposit,14,114,140.0
deposit,15,115,150.0
deposit,16,116,160.0
deposit,17,117,170.0
deposit,18,118,180.0
deposit,19,119,190.0
deposit,20,120,200.0
deposit,21,121,210.0
deposit,22,122,220.0
deposit,23,123,230.0
deposit,24,124,240.0
deposit,25,125,250.0
deposit,26,126,260.0
deposit,27,127,270.0
deposit,28,128,280.0
deposit,29,129,290.0
deposit,30,130,300.0
deposit,31,131,310.0
deposit,32,132,320.0
deposit,33,133,330.0
deposit,34,134,340.0
deposit,35,135,350.0
deposit,36,136,360.0
deposit,37,137,370.0
deposit,38,138,380.0
deposit,39,139,390.0
deposit,40,140,400.0
deposit,41,141,410.0
deposit,42,142,420.0
deposit,43,143,430.0
deposit,44,144,440.0
deposit,45,145,450.0
